species	type
Acetobacter aceti	plant pathogen
Acetobacter pasteurianus	plant pathogen
Acidovorax anthurii	plant pathogen
Acidovorax avenae	plant pathogen
Acidovorax konjaci	plant pathogen
Acidovorax valerianellae	plant pathogen
Arthrobacter ilicis	plant pathogen
Arthrobacter michiganensis	plant pathogen
Bacillus megaterium	plant pathogen
Bacillus pumilus	plant pathogen
Brenneria alni	plant pathogen
Brenneria nigrifluens	plant pathogen
Brenneria paradisiaca	plant pathogen
Brenneria quercina	plant pathogen
Brenneria rubrifaciens	plant pathogen
Brenneria salicis	plant pathogen
Burkholderia andropogonis	plant pathogen
Burkholderia caryophylli	plant pathogen
Burkholderia cepacia	plant pathogen
Burkholderia gladioli	plant pathogen
Burkholderia glumae	plant pathogen
Burkholderia plantarii	plant pathogen
Clavibacter michiganensis	plant pathogen
Clavibacter toxicus	plant pathogen
Clostridium puniceum	plant pathogen
Curtobacterium flaccumfaciens	plant pathogen
Enterobacter cancerogenus	plant pathogen
Enterobacter dissolvens	plant pathogen
Enterobacter nimipressuralis	plant pathogen
Enterobacter pyrinus	plant pathogen
Erwinia amylovora	plant pathogen
Erwinia cacticida	plant pathogen
Erwinia mallotivora	plant pathogen
Erwinia papayae	plant pathogen
Erwinia persicinus	plant pathogen
Erwinia psidii	plant pathogen
Erwinia pyrifoliae	plant pathogen
Erwinia tracheiphila	plant pathogen
Gluconobacter oxydans	plant pathogen
Herbaspirillum rubrisubalbicans	plant pathogen
Janthinobacterium agaricidamnosum	plant pathogen
Leifsonia cynodontis	plant pathogen
Leifsonia xyli	plant pathogen
Nocardia vaccinii	plant pathogen
Pantoea agglomerans	plant pathogen
Pantoea ananatis	plant pathogen
Pantoea stewartii	plant pathogen
Pectobacterium atrosepticum	plant pathogen
Pectobacterium betavasculorum	plant pathogen
Pectobacterium carotovorum	plant pathogen
Pectobacterium chrysanthemi	plant pathogen
Pectobacterium cypripedii	plant pathogen
Pectobacterium wasabiae	plant pathogen
Pseudomonas agarici	plant pathogen
Pseudomonas amygdali	plant pathogen
Pseudomonas asplenii	plant pathogen
Pseudomonas avellanae	plant pathogen
Pseudomonas betle	plant pathogen
Pseudomonas cannabina	plant pathogen
Pseudomonas cichorii	plant pathogen
Pseudomonas cissicola	plant pathogen
Pseudomonas corrugata	plant pathogen
Pseudomonas ficuserectae	plant pathogen
Pseudomonas flectens	plant pathogen
Pseudomonas fuscovaginae	plant pathogen
Pseudomonas marginalis	plant pathogen
Pseudomonas mediterranea	plant pathogen
Pseudomonas meliae	plant pathogen
Pseudomonas savastanoi	plant pathogen
Pseudomonas syringae	plant pathogen
Pseudomonas tolaasii	plant pathogen
Pseudomonas tremae	plant pathogen
Pseudomonas viridiflava	plant pathogen
Ralstonia solanacearum	plant pathogen
Ralstonia syzygii	plant pathogen
Rathayibacter iranicus	plant pathogen
Rathayibacter rathayi	plant pathogen
Rathayibacter tritici	plant pathogen
Rhizobium larrymoorei	plant pathogen
Rhizobium radiobacter	plant pathogen
Rhizobium rhizogenes	plant pathogen
Rhizobium rubi	plant pathogen
Rhizobium vitis	plant pathogen
Rhodococcus fascians	plant pathogen
Samsonia erythrinae	plant pathogen
Serratia proteamaculans	plant pathogen
Sphingomonas melonis	plant pathogen
Sphingomonas suberifaciens	plant pathogen
Spiroplasma citri	plant pathogen
Spiroplasma kunkelii	plant pathogen
Spiroplasma phoeniceum	plant pathogen
Streptomyces acidiscabies	plant pathogen
Streptomyces albidoflavus	plant pathogen
Streptomyces candidus	plant pathogen
Streptomyces caviscabies	plant pathogen
Streptomyces collinus	plant pathogen
Streptomyces europaeiscabiei	plant pathogen
Streptomyces intermedius	plant pathogen
Streptomyces ipomoeae	plant pathogen
Streptomyces luridiscabiei	plant pathogen
Streptomyces niveiscabiei	plant pathogen
Streptomyces puniciscabiei	plant pathogen
Streptomyces reticuliscabiei	plant pathogen
Streptomyces scabiei	plant pathogen
Streptomyces setonii	plant pathogen
Streptomyces steliiscabiei	plant pathogen
Streptomyces turgidiscabies	plant pathogen
Streptomyces wedmorensis	plant pathogen
Xanthomonas albilineans	plant pathogen
Xanthomonas arboricola	plant pathogen
Xanthomonas axonopodis	plant pathogen
Xanthomonas bromi	plant pathogen
Xanthomonas campestris	plant pathogen
Anaplasma centrale	animal pathogen
Anaplasma marginale	animal pathogen
Bacillus anthracis	animal pathogen
Brucella abortus	animal pathogen
Brucella melitensis	animal pathogen
Brucella ovis	animal pathogen
Brucella suis	animal pathogen
Burkholderia mallei	animal pathogen
Campylobacter fetus	animal pathogen
Chlamydia abortus	animal pathogen
Chlamydia avium	animal pathogen
Chlamydia caviae	animal pathogen
Chlamydia felis	animal pathogen
Chlamydia gallinacea	animal pathogen
Chlamydia muridarum	animal pathogen
Chlamydia pecorum	animal pathogen
Chlamydia pneumonia	animal pathogen
Chlamydia psittaci	animal pathogen
Chlamydia suis	animal pathogen
Coxiella burnetii	animal pathogen
Ehrlichia ruminantium	animal pathogen
Francisella tularensis	animal pathogen
Hepatobacter penaei	animal pathogen
Leptospira interrogans	animal pathogen
Mycobacterium  paratuberculosis	animal pathogen
Mycobacterium bovis	animal pathogen
Mycobacterium caprae	animal pathogen
Mycobacterium microti	animal pathogen
Mycobacterium orygis	animal pathogen
Mycobacterium pinnipedii	animal pathogen
Mycobacterium tuberculosis	animal pathogen
Mycoplasma agalactiae	animal pathogen
Mycoplasma capricolum	animal pathogen
Mycoplasma gallisepticum	animal pathogen
Mycoplasma mycoides	animal pathogen
Mycoplasma putrefaciens	animal pathogen
Mycoplasma synoviae	animal pathogen
Pasteurella multocida	animal pathogen
Salmonella enterica	animal pathogen
Salmonella gallinarum 	animal pathogen
Salmonella pullorum	animal pathogen
Taylorella equigenitalis	animal pathogen
Vibrio parahaemolyticus	animal pathogen
Xenohaliotis californiensis	animal pathogen
