species	type
Acidovorax citrulli	plant pathogen
Agrobacterium tumefaciens	plant pathogen
Candidatus Phytoplasma fraxini	plant pathogen
Candidatus Phytoplasma pruni	plant pathogen
Candidatus Phytoplasma solani	plant pathogen
Clavibacter insidiosus	plant pathogen
Clavibacter michiganensis	plant pathogen
Dickeya dadantii	plant pathogen
Dickeya solani	plant pathogen
Erwinia	plant pathogen
Erwinia psidii	plant pathogen
Liberibacter	plant pathogen
Pantoea stewartii	plant pathogen
Paraburkholderia caryophylli	plant pathogen
Pectobacterium atrosepticum	plant pathogen
Pectobacterium betavasculorum	plant pathogen
Pectobacterium carotovorum	plant pathogen
Pectobacterium carotovorum subsp. betavasculorum	plant pathogen
Pectobacterium wasabiae	plant pathogen
Phytoplasma	plant pathogen
Pseudomonas amygdali	plant pathogen
Pseudomonas asplenii	plant pathogen
Pseudomonas caricapapayae	plant pathogen
Pseudomonas cichorii	plant pathogen
Pseudomonas coronafaciens	plant pathogen
Pseudomonas corrugata	plant pathogen
Pseudomonas ficuserectae	plant pathogen
Pseudomonas flavescens	plant pathogen
Pseudomonas fuscovaginae	plant pathogen
Pseudomonas helianthi	plant pathogen
Pseudomonas marginalis	plant pathogen
Pseudomonas oryzihabitans	plant pathogen
Pseudomonas palleroniana	plant pathogen
Pseudomonas salomonii	plant pathogen
Pseudomonas savastanoi	plant pathogen
Pseudomonas syringae	plant pathogen
Pseudomonas tomato	plant pathogen
Pseudomonas turbinellae	plant pathogen
Pseudomonas viridiflava	plant pathogen
Ralstonia pseudosolanacearum	plant pathogen
Ralstonia solanacearum	plant pathogen
Rhizobacter	plant pathogen
Rhodococcus fascians	plant pathogen
Robbsia andropogonis	plant pathogen
Spiroplasma citri	plant pathogen
Streptomyces scabiei	plant pathogen
Xanthomonas campestris	plant pathogen
Xanthomonas campestris pv. campestris	plant pathogen
Xanthomonas campestris pv. juglandis	plant pathogen
Xanthomonas campestris pv. raphani	plant pathogen
Xanthomonas nasturtii	plant pathogen
Xanthomonas oryzae	plant pathogen
Xanthomonas pruni	plant pathogen
Xylella fastidiosa	plant pathogen
